Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 814,IS 6392,11,9,5,0.455,61.212,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 694,11,120,5,0.455,4.591,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 7098,11,54,5,0.455,10.202,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 7205,11,6,5,0.455,91.818,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 732,11,20,5,0.455,27.545,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 778,11,17,5,0.455,32.406,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 808,11,19,5,0.455,28.995,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 8130,11,56,5,0.455,9.838,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 875,11,48,5,0.455,11.477,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 1363,IS 1364,11,24,5,0.455,22.955,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 1521,11,5,5,0.455,110.182,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 209,11,14,5,0.455,39.351,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 2121,11,9,5,0.455,61.212,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 280,11,21,5,0.455,26.234,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 398,11,12,5,0.455,45.909,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 4826,11,13,5,0.455,42.378,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 5561,11,14,5,0.455,39.351,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 617,11,16,5,0.455,34.432,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 6745,11,10,5,0.455,55.091,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1363,IS 6792,11,7,5,0.455,78.701,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 2190,IS 1239,11,52,5,0.455,10.594,Cited alongside IS 2190 in 5 of 11 comparable tenders
IS 2190,IS 13947,11,37,5,0.455,14.889,Cited alongside IS 2190 in 5 of 11 comparable tenders
IS 2190,IS 694,11,120,5,0.455,4.591,Cited alongside IS 2190 in 5 of 11 comparable tenders
IS 2190,IS 8623,11,30,5,0.455,18.364,Cited alongside IS 2190 in 5 of 11 comparable tenders
IS 3427,IS 10418,11,27,5,0.455,20.404,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 2386,IS 3043,11,54,5,0.455,10.202,Cited alongside IS 2386 in 5 of 11 comparable tenders
IS 2386,IS 8112,11,33,5,0.455,16.694,Cited alongside IS 2386 in 5 of 11 comparable tenders
IS 3427,IS 375,11,13,5,0.455,42.378,Cited alongside IS 3427 in 5 of 11 comparable tenders
