Tender ID,GeM Bid Id,Product Family,IS Numbers Cited,Count,Outdated Citations,Any Outdated,Unmatched Citations,Usability,OCR Pages,OCR Characters,OCR Dropped
GEM/2025/B/6108625,7704964.0,Unclassified,,0,,Not checked,,Read by OCR,8,4419,
GEM/2025/B/6110230,7706701.0,Unclassified,,0,,Not checked,,Read by OCR,6,12429,
GEM/2025/B/6113471,7710227.0,Unclassified,,0,,Not checked,,Read by OCR,1,265,
GEM/2025/B/6107436,7703667.0,Unclassified,,0,,Not checked,,Read by OCR,18,19671,
GEM/2025/B/6113138,7709873.0,Unclassified,,0,,Not checked,,Read by OCR,8,13419,
GEM/2025/B/6115417,7712381.0,Unclassified,,0,,Not checked,,Read by OCR,1,458,
GEM/2025/B/6115695,7712678.0,Unclassified,,0,,Not checked,,Read by OCR,1,628,
GEM/2025/B/6104180,7700052.0,LITD — Electronics And Information Technology Department,IS 13252 (Part 1),1,,No,,Read by OCR,24,58705,
GEM/2025/B/6116134,7713167.0,Unclassified,,0,,Not checked,,Read by OCR,6,8618,
GEM/2025/B/6112907,7709609.0,MTD — Metallurgical Engineering Department,IS 1570,1,IS 1570 (Withdrawn),Yes,,Read by OCR,9,9570,
GEM/2025/B/6117823,7715114.0,TXD — Textile Department,IS 15809; IS 11871,2,,No,,Read by OCR,4,5566,
GEM/2025/B/6118430,7715811.0,Unclassified,,0,,Not checked,,Read by OCR,1,883,
GEM/2025/B/6114567,7711420.0,Unclassified,,0,,Not checked,,Read by OCR,36,47567,
GEM/2025/B/6119284,7716771.0,Unclassified,,0,,Not checked,,Not extractable,1,177,
GEM/2025/B/6119611,7717136.0,Unclassified,,0,,Not checked,,Read by OCR,1,1869,
GEM/2025/B/6118585,7715985.0,Unclassified,,0,,Not checked,,Read by OCR,4,11307,
GEM/2025/B/6121112,7718817.0,Unclassified,,0,,Not checked,,Read by OCR,2,7370,
GEM/2025/B/6124912,7722946.0,Unclassified,,0,,Not checked,,Read by OCR,1,984,
